,money,country,city,response
253,0,Spain,A Coruna,33.333333333333336
254,0,Spain,Alicante,30.0
255,0,Spain,Barcelona,45.45454545454545
256,0,Spain,Bilbao,30.0
257,0,Spain,Cordoba,50.0
258,0,Spain,Gijon,44.44444444444444
259,0,Spain,Madrid,41.935483870967744
260,0,Spain,Malaga,61.53846153846154
261,0,Spain,Murcia,66.66666666666667
262,0,Spain,Palma,54.54545454545455
263,0,Spain,Sevilla,57.142857142857146
264,0,Spain,Valencia,50.0
265,0,Spain,Valladolid,60.0
266,0,Spain,Vigo,55.55555555555556
267,0,Spain,Zaragoza,64.28571428571429
608,1,Spain,A Coruna,44.44444444444444
609,1,Spain,Alicante,80.0
610,1,Spain,Barcelona,59.09090909090909
611,1,Spain,Bilbao,70.0
612,1,Spain,Cordoba,70.0
613,1,Spain,Gijon,55.55555555555556
614,1,Spain,Madrid,37.142857142857146
615,1,Spain,Malaga,46.15384615384615
616,1,Spain,Murcia,75.0
617,1,Spain,Palma,57.142857142857146
618,1,Spain,Sevilla,71.42857142857143
619,1,Spain,Valencia,68.75
620,1,Spain,Valladolid,33.333333333333336
621,1,Spain,Vigo,90.0
622,1,Spain,Zaragoza,57.142857142857146
