money,country,response
0,Argentina,46
0,Australia,52.26130653
0,Brazil,34
0,Canada,46.5
0,Chile,35.35353535
0,China,7
0,Croatia,52
0,Czech Republic,62
0,Denmark,68
0,France,53.6159601
0,Germany,55
0,Ghana,17.44966443
0,Greece,37
0,India,22.3880597
0,Indonesia,17
0,Israel,43.33333333
0,Italy,36
0,Kazakhstan,14.07035176
0,Kenya,15.32846715
0,Malaysia,16
0,Mexico,24
0,Morocco,13.52657005
0,Netherlands,68.5
0,New Zealand,61.5
0,Norway,70.66666667
0,Peru,14.07035176
0,Poland,65.5
0,Portugal,40
0,Romania,48.5
0,Russia,49.00662252
0,Serbia,53.33333333
0,South Africa,29
0,Spain,49.5
0,Sweden,67
0,Switzerland,73.86934673
0,Thailand,24
0,Turkey,20
0,UAE,16
0,UK,37.5
0,USA,38.66666667
1,Argentina,49
1,Australia,69
1,Brazil,48.74371859
1,Canada,63.5
1,Chile,36.86868687
1,China,21.5
1,Croatia,66.66666667
1,Czech Republic,78
1,Denmark,82
1,France,58.35411471
1,Germany,65
1,Ghana,22
1,Greece,53.5
1,India,43.71859296
1,Indonesia,33
1,Israel,50
1,Italy,47.5
1,Kazakhstan,20.89552239
1,Kenya,18.97810219
1,Malaysia,22.5
1,Mexico,18
1,Morocco,22.05128205
1,Netherlands,74
1,New Zealand,80
1,Norway,78.66666667
1,Peru,13.43283582
1,Poland,64.25
1,Portugal,45
1,Romania,61
1,Russia,58.94039735
1,Serbia,56
1,South Africa,38.69346734
1,Spain,58.5
1,Sweden,81.5
1,Switzerland,79
1,Thailand,40
1,Turkey,41.5
1,UAE,35
1,UK,57.29877217
1,USA,56.2
2,Poland,77
2,UK,73.36683417
2,USA,65.5
